
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


<Trader> 0							// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
<Category> Vegetables							// Category Name
CaninaBerry,			    *,		10,		-1	// Item Classname, Quantity, Buyvalue, Sellvalue
SambucusBerry,	  		*,		10,		-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
SpaghettiCan,												*,		100,		30
BakedBeansCan,											*,		150,		80
TacticalBaconCan,										*,		500,		200

<Category> Meat
ChickenBreastMeat,									S,		3200,		2100
GoatSteakMeat,											S,		4300,		2500
SheepSteakMeat,											S,		5000,		3100
PigSteakMeat,												S,		4500,		2200
BoarSteakMeat,											S,		6400,		3200
WolfSteakMeat,											S,		6400,		4200
DeerSteakMeat,											S,		2500,		1200
CowSteakMeat,												S,		3500,		1200
BearSteakMeat,											S,    8000,		5000
Sardines,														S,		3700,		2400
Carp,																S,		3700,		2400
Mackerel,														S,		1000,		500

<Category> Animal Parts
Bone,																*,		200,		100
Lard,																*,		200,		100
Guts,																*,		200,		100
SmallGuts,													*,		200,		100
PigPelt,														*,		-1,			 2000
RabbitPelt,													*,		-1,			 3000
CowPelt,														*,		-1,   	4000
WildboarPelt,												*,		-1,		 4000
DeerPelt,														*,		-1,		 4000
SheepPelt,														*,		-1,		 4000
GoatPelt,														*,		-1,		 4000
FoxPelt,														*,		-1, 	4000
WolfPelt,														*,		10000, 5000
BearPelt,														*,		20000, 10000

<Category> Drinks
SodaCan_Cola, 											*,		50, 		15
SodaCan_Kvass, 											*,		50, 		15
SodaCan_Pipsi, 											*,		50, 		15
SodaCan_Spite, 											*,		50, 		15
WaterBottle,												*,		50,			25
Canteen,														*,		80,			45
Vodka,															*,		120,		85
MSFCPohuinBottle,	                  *,		150,		70
MSFC_BottlePouch_MulticamTropic,		*,		200,		70
MSFC_BottlePouch_MulticamBlack,			*,		200,	  70
MSFC_BottlePouch_Multicam,					*,		200,		70
MSFC_BottlePouch_SURPATDesert,			*,		200,		70
MSFC_BottlePouch_SURPAT,						*,		200,		70
MSFC_BottlePouch_ATACSAU,						*,		200,		70

//<Category> Medical Supplies
//Rag,					1,		1,		-1
//InjectionVial,										*,		50, 		20
//Syringe,													*,		180, 		50
//Defibrillator,										*,		35, 	20

<Category> Medications
CharcoalTablets,										*,		20,		10
DisinfectantAlcohol,								*,		40,		20
VitaminBottle,											*,		60,		40
TetracyclineAntibiotics,						*,		80,		50
Thermometer,												*,		50,		20
BandageDressing,										1,		230,		110
BloodTestKit,												*,		350,		120
DisinfectantSpray,									*,		80,		50
Heatpack,														*,		10,		5
StartKitIV,													*,		410,		160
SalineBag,													*,		150,		80
BloodBagEmpty,											*,		180,		100
FirstAidKit,												*,		200,		100
ToxicCure,													*,		10000,		3000
PainkillerTablets,									*,		100,		60
Epinephrine,												*,		200,		100
Morphine,														*,		250,		150
Bandaid_bandage,                    *,		250,		100
elastic_bandage,                    *,		250,		100

	<Category> Money Exchange
		MoneyRuble1,			1,		1,		-1
		MoneyRuble5,			1,		5,		-1
		MoneyRuble10,			1,		10,		-1
		MoneyRuble25,			1,		25,		-1
		MoneyRuble50,			1,		50,		-1
		MoneyRuble100,			1,		100,	-1

<Trader> Misc
	<Category> Tools (small)
	Screwdriver,												*,		300,		100
	Wrench,															*,		1000,		50
	SewingKit,													*,		40, 		10
	Pliers,															*,		400, 		100
	LeatherSewingKit,										*,		250, 		150
	Whetstone,													*,		150,		50
	Hammer,															*,		500,		100
	Hacksaw,														*,		350,		150
	HandSaw,														*,		500,		250
	WeaponCleaningKit,									*,		80, 		30
	KitchenKnife,												*,		50,		25
	SteakKnife,													*,		60,		30
	HuntingKnife,												*,		90,		40
	CanOpener,													*,		100,		50
	Compass,														*,		100,		50
	OrienteeringCompass,								*,		100,		50
	Hatchet,														*,		200,		100
	CombatKnife,												*,		500,		250
	Machete,														*,		750,		375
	Lockpick,														*,		800,		-1
	Binoculars,													*,		200,		150
	FishingRod,													*,		-1,		600

	<Category> Tools (big)
	LugWrench,													*,		150,		75
	Crowbar,				                    *,		150,		75
	Shovel,															*,		500,		250
	Pickaxe,														*,		500,		250
	SledgeHammer,												*,		300,		150
	WoodAxe,														*,		500,		250
	FirefighterAxe,											*,		500,		250


	<Category> Electronics
		Battery9V,													*,		50,		25
		PersonalRadio,											*,		100,		50
		Megaphone,													*,		-1,		500
		ElectronicRepairKit,								*,		250,		100
		CableReel,													*,		400,		200
		BatteryCharger,											*,		350,		100
		BaseRadio,													*,		1000,		600
		Rangefinder,												*,		200,		100
		NVGoggles,													*,		5000,	2500
		CodeLock,					*,		5000,	1000

	<Category> Fire & Lights
	Chemlight_Blue,											*,		-1,			1
	Chemlight_Green,										*,		-1,			1
	Chemlight_Red,											*,		-1,			1
	Chemlight_White,										*,		-1,			1
	Chemlight_Yellow,										*,		-1,			1
	Roadflare,													*,		200,		50
	Matchbox,														*,		50,			20
	Flashlight,													*,		150,		50
	PortableGasLamp,										*,		250,		100
	PortableGasStove,										*,		250,		100
	Headtorch_Black,										*,		600,		400
	Headtorch_Grey,											*,		600,		400
	Spotlight,													*,		1100,		700


	<Category> Cooking & Hunting Supplies
	PurificationTablets,								*,		150,		75
	Pot,																M,		250,		100
	Tripod,															*,		450,		350
	BearTrap,														*,		500,		300

	<Category> Hardware Supplies
	Paper,															*,		-1,			20
	Pen_Blue,														*,		-1,			40
	Rope,																*,		75,			25
	TannedLeather,											*,		4500,		3000
	AntiPestsSpray,											*,		80,			40
	MetalWire,													*,		200,		100
	EpoxyPutty,													*,		50,			25
	DuctTape,														*,		250,		100
	XmasLights,													*,		125,		50
	HandcuffKeys,												*,		50,			25
	Handcuffs,													*,		50,			25
	Netting,														1,		150,		75
	BurlapSack,													*,		450,		150
	MetalPlate,													*,		1600,		500
	SmallProtectorCase,									*,		900,		450
	AmmoBox,														*,		900,		450
	SmallGasCanister,										*,		80,			15
	MediumGasCanister,									*,		1000,		20
	LargeGasCanister,										*,		200,		35
	CanisterGasoline,										*,		800,		200
	NailBox,														*,		300000,	1
	BarbedWire,													*,		450,		200
	Camonet,														*,		900,		450
	HescoBox,														*,		-1,			650
	BarrelHoles_Blue,										*,		-1,			5000
	BarrelHoles_Green,									*,		-1,			5000
	BarrelHoles_Red,										*,		-1,			5000
	BarrelHoles_Yellow,									*,		-1,			5000
	Barrel_Blue,												M,		5000,		2500
	Barrel_Green,												M,		5000,		2500
	Barrel_Red,													M,		5000,		2500
	Barrel_Yellow,											M,		5000,		2500
	SeaChest,														*,		2000,		400
	PowerGenerator,											*,		3000,		1000
	MediumTent,													*,		3300,		500
	CarTent,														*,		10000,	3700
	LargeTent,													*,		15000,	3200
	<Category> Seeds & Lime
		TomatoSeedsPack,		*,		4, 		1
		PepperSeedsPack,		*,		4, 		1
		ZucchiniSeedsPack,		*,		6, 		2
		PumpkinSeedsPack,		*,		10, 	3
		GardenLime,				*,		20,		7

		<Category> Storage
			Msp_LargeAmmoBox,										*,		400,		100
			Msp_AmericanAppleCrate,		                    		*,		600,		60
			Msp_AppleCrate,		                    				*,		600,		60
			Msp_PlasticCrate,		                    			*,		600,		60
			Msp_AmmoCrate,		                    				*,		600,		60
			Msp_TackleBox,		                    				*,		600,		60
			Msp_TackleBox_Black,		                    		*,		600,		60
			Msp_CoolerBox,		                    				*,		600,		60
			Msp_CoolerBox_Black,		                    		*,		600,		60
			Msp_SmallFridge,		                    			*,		1600,		400
			Msp_JackDanielsFridge,		                    		*,		1600,		400
			Msp_GrenadeBox,		                    				*,		1600,		400
			Msp_TreasureChest,		                    			*,		1600,		400
			Msp_MedievalChest,		                    			*,		5000,		1000
			Msp_MilitaryCrate_Brown,		                    	*,		5000,		1000
			Msp_MilitaryCrate_Green,		                    	*,		5000,		1000
			Msp_MilitaryCrate_Grey,		                    		*,		5000,		1000
			Msp_MilitaryCrate_Olive,		                    	*,		5000,		1000
			Msp_MilitaryCrate_Tan,		                    		*,		5000,		1000
			Msp_CoffinBox,		                    				*,		5000,		1000
		<Category> Barrels
			Msp_Barrel_Donation,		                    		*,		1600,		400
			Msp_Barrel_Donation_Ammo,		                    	*,		1600,		400
			Msp_Barrel_Donation_Guns,		                    	*,		1600,		400
			Msp_Barrel_Donation_Food,		                    	*,		1600,		400
			Msp_Barrel_Donation_Medical,		                    *,		1600,		400
			Msp_Barrel_Donation_BloodONegative,		                *,		1600,		400
			Msp_WaterBarrel_Plastic,		                    	*,		1600,		400
			Msp_WaterBarrel_Plastic_Yellow,		                    *,		1600,		400
			Msp_WaterBarrel_Plastic_Green,		                    *,		1600,		400
			Msp_WaterBarrel_Plastic_Red,		                    *,		1600,		400
			Msp_WaterBarrel_Plastic_Black,		                    *,		1600,		400
			Msp_WaterBarrel_Plastic_White,		                	*,		1600,		400
			Msp_WaterBarrel_Valve_Faucet,		                	*,		1000,		100
			Msp_WaterBarrel,		                				*,		1600,		400
			Msp_WaterBarrel_Darkwood,		                		*,		1600,		400
			Msp_WaterBarrel_Stand,		                			*,		1000,		100
			Msp_WaterBarrel_Stand_Darkwood,		                	*,		1000,		100
			Msp_WaterBarrel_Valve,		                			*,		1000,		100
			Msp_WaterBarrel_Valve_Darkwood,		                	*,		1000,		100
		<Category> Kits and base items
			Msp_FireplaceRailing,									*,		600,	20
			Msp_EmptySquarePlanterBox,								*,		600,	20
			Msp_EmptyPlanterBox,									*,		600,	20
			Msp_BeachChair_Kit,										*,		1000,	10
			Msp_KiddiePool_Kit,										*,		1000,	10
			Msp_KiddiePool_Pink_Kit,								*,		1000,	10
			Msp_KiddiePool_Yellow_Kit,								*,		1000,	10
			Msp_KiddiePool_Large_Kit,								*,		1000,	10
			Msp_KiddiePool_Large_Pink_Kit,							*,		1000,	10
			Msp_KiddiePool_Large_Yellow_Kit,						*,		1000,	10
			Msp_VolleyballNet_Kit,									*,		1000,	10
			Msp_FishingRodsRack_Kit,								*,		2000,	30
			Msp_GunCabinet_Kit,										*,		2000,	30
			Msp_GunRack_Kit,										*,		3000,	40
			Msp_DoubleGunRack_Kit,									*,		4000,	50
			Msp_MilitaryLocker_Kit,									*,		5000,	60
			Msp_Locker_Kit,											*,		5000,	60
			Msp_StorageBox_Kit,										*,		5000,	60
			Msp_ToolsBench_Blue_Kit,								*,		5000,	60
			Msp_ToolsBench_Grey_Kit,								*,		5000,	60
			Msp_ToolsBench_Red_Kit,									*,		5000,	60
			Msp_BlueFridge_Kit,										*,		5000,	60
			Msp_RetroBlueFridge_Kit,								*,		5000,	60
			Msp_RustyFridge_Kit,									*,		5000,	60
			Msp_Blue50sFridge_Kit,									*,		5000,	60
			Msp_50sFridge_Kit,										*,		5000,	60
			Msp_Freezer_Kit,										*,		5000,	60
			Msp_Gazebo_Kit,											*,		5000,	60
			Msp_StoneFireplace_Kit,									*,		5000,	60
			Msp_Greenhouse_Kit,										*,		5000,	60
			Msp_GreenhouseWood_Kit,									*,		5000,	60
			Msp_Bookcase_Kit,										*,		5000,	60
			Msp_RifleSafe_Kit,										*,		5000,	60
			Msp_RifleSafe_Grey_Kit,									*,		5000,	60
			Msp_RifleSafe_Green_Kit,								*,		5000,	60
			Msp_RifleSafe_Purple_Kit,								*,		5000,	60
			Msp_RifleSafe_Tan_Kit,									*,		5000,	60
			Msp_MedicalBox_Kit,										*,		5000,	60
			Msp_Gunwall_Kit,										*,		5000,	60
		<Category> Misc
			Msp_Bunny,												*,		600,	20
			Msp_SantaJacket,										*,		600,	20
			Msp_SantaPants,											*,		600,	20
			Msp_MedicBag_Green,										*,		600,	20
			Msp_MedicBag_Red,										*,		600,	20
			Msp_MedicBag_Blue,										*,		600,	20
			Msp_MedicBag_Black,										*,		600,	20
			Msp_BeachUmbrella,										*,		600,	20
			Msp_BeachBall,											*,		600,	20
			Msp_Volleyball,											*,		600,	20
			Msp_Floatie_Wheel,										*,		600,	20
			Msp_Floatie_Unicorn,									*,		600,	20
			Msp_Floatie_Unicorn_Rainbow,							*,		600,	20
			Msp_Floatie_Unicorn_BlueRainbow,						*,		600,	20
			Msp_Floatie_Unicorn_GreenRainbow,						*,		600,	20
			Msp_Floatie_Unicorn_PurpleRainbow,						*,		600,	20
			Msp_Floatie_Flamingo,									*,		600,	20
			Msp_Floatie_Flamingo,									*,		600,	20
			Msp_Water_Gun,											*,		350,	35
			Msp_Water_Gun_Mag,										*,		50,	5
			Msp_WitchHat,											*,		-1,		50
			MSP_WitchCauldron,										M,		300,	50
			Msp_MedievalGibbetWithMount_Kit,						*,		500,	60
			Msp_MedievalGibbet_Kit,									*,		500,	60
			Msp_SleepingBag_Green,			*,		200,		20
			Msp_SleepingBag_Blue,			*,		200,		20
			Msp_SleepingBag_LimeGreen,		*,		200,		20
			Msp_SleepingBag_Orange,			*,		200,		20
			Msp_SleepingBag_Purple,			*,		200,		20
			Msp_SleepingBag_Red,			*,		200,		20
			Msp_Mattress_Blue,				*,		200,		20
			Msp_Mattress_Green,				*,		200,		20
			Msp_Mattress_Pink,				*,		200,		20
			Msp_Mattress_Yellow,			*,		200,		20
			Msp_DeskClock,					*,		500,		50
			Msp_WoodenTable_Kit,			*,		200,		20
			Msp_WoodenChair,				*,		200,		20

	<Category> Fluffy Pets <3
		Bear_Beige,				*,		5,		1
		Bear_Dark,				*,		5,		1
		Bear_Pink,				*,		5,		1
		Bear_White,				*,		5,		1

<Trader> 3
	<Category> Melee
		BrassKnuckles_Shiny,	W,		15,		6
		StunBaton,				W,		15,		9
		Pipe,					W,		25,		10
		CattleProd,				W,		25,		15
		BaseballBat,			W,		35,		17
		NailedBaseballBat,		W,		45,		20
		Msp_VorpalKnife,			W,      100,   	10
		Msp_GoodNightBat,			W,      500,    	25
		Msp_BeanBasher,				W,      500,    	25
		Msp_PipeAxe,					W,      500,    	25
		Msp_PlainBat,					W,      500,    	25
		Msp_PlainBat_Blue,		W,      500,    	25
		Msp_PlainBat_Black,		W,      500,    	25
		Msp_BlunderBat,				W,      500,    	25
		Msp_BassAxe,					W,      500,    	25
		MSFC_Huntsman_Knife,	*,		1000,		500
		MSFC_DownrangeTomahawk,	*,		1000,		650

	<Category> Sidearms
		MakarovIJ70,			W,		100,	50
		CZ75,					W,		135,	70
		FNX45,					W,		175,	90
		Glock19,				W,		300,	130
		MKII,					W,		320,	160
		Colt1911,				W,		340,	180
		Engraved1911,			W,		340,	180
		MSFC_P250,				W,		400,		200
		BigDeag, *, 900, 300
		BigDeag_Gold, *, -1, 5000


	<Category> Rifles
		Izh18,					W,		350,	175
		Mosin9130,				W,		400,	200
		CZ527,					W,		500,	250
		Winchester70,			W,		500,	250
		SKS,					W,		600,	300

	<Category> Shotguns
		Mp133Shotgun,			W,		500,	250
		Izh43Shotgun,			W,		900,	400
		Saiga,					W,		1500,	600
		MSFC_BlackEagleII,	W,		1000,		400

	<Category> Submachine Guns
		CZ61,					W,		700,	300
		UMP45,					W,		800,	350
		MP5K,					W,		1000,	450
		AKS74U,					W,		1100,	600
		MSFC_AR15_9mm_Desert,	W,		2000,	150
		MSFC_AR15_9mm_Black,	W,		2000,	150
		MSFC_AR15_9mm_Green,	W,		2000,	150
		MSFC_PP19_Vityaz,	W,		1400,		2000
		MP9_Black, *, 4000, 1500
		Thompson, *, 4000, 1500
		MP7A1_Black, *, 5000, 2000

	<Category> Assault Rifles
		FAL,					W,		20000,	4500
		AKM,					W,		3000,	150
		AK101,					W,		4500,	150
		AK74,					W,		3600,	750
		M4A1,					W,		4000,	150
		MSFC_AKM_Black,	W,		3000,		150
		MSFC_AKM_White,	W,		3000,		150
		MSFC_M4A1_White,	W,		4000,		150
		MSFC_AKCR2019,	W,		4000,		2000
		MSFC_AK15M,	W,		4000,		2000
		MSFC_AK12M,	W,		4000,		2000
		MSFC_AK13M,	W,		4000,		2000
		MSFC_RPK74,	W,		4000,		2000
		MSFC_TacAR15,	W,				4000,		2000
		MSFC_AR15,	W,					4000,		2000
		MSFC_MSBS,	W,					4000,		2000
		MSFC_VPO136,	W,				2000,		1000
		MSFC_Vepr15,	W,				4000,		2000
		MSFC_SaigaMK223Rem,	W,	4000,		2000
		MSFC_AK_ALFA,	W,				4000,		2000
		MSFC_HK416,	W,					4000,		2000
		MSFC_AK15,	W,					5000,		3000
		MSFC_AK103,	W,					10000,	5000
		MSFC_SCAR17,	W,				8000,		4000
		MSFC_RPK,	W,						12000,	6000
		MSFC_M16A4,	W,					9000,		4000
		MSFC_TacAR15_SBR,	W,		10000,	5000
		MCRCARB_Black, *, 2000, 1000
		MCRCARB_Tan, *, 4000, 1000
		MCRCQC_Black, *, 6000, 2500
		MCRSAW_Black, *, 6000, 2500
		RPK16_Black, *, 9000, 2500
		RPK16_Green, *, 9000, 2500
		RPK16_Tan, *, 6000, 2500
		TX15_Black, *, 2000, 1000
		SA58_black, *, 12000, 4000
		SA58_Green, *, 12000, 4000

	//<Category> Light Machine Guns

	<Category> Sniper Rifles
		MSFC_AS_VAL,	W,		6000,		2800
		VSS,					W,		5000,	2960
		B95,					W,		5700,	1100
		SVD,					W,		8000,	2200
		MSFC_ORSIS_T5000,	W,		140000,		50000
		MSFC_ORSIS_T5000_Green,	W,		140000,		50000
		MSFC_ORSIS_T5000_Desert,	W,		140000,		50000
		MSFC_OSV96,	W,		400000,		100000
		MSFC_L96A1_Green,	W,		40000,		10000
		MSFC_Tigr308,	W,		5000,		3000
		MSFC_Mossberg590,	W,		4000,		2000
		MSFC_SVD_Wooden,	W,		5000,		1500
		KDMR_Worn, *, 9000, 3500
		KDMR_Camo, *, 9000, 3500
		M14_EFT, *, 60000, 12000
		OPSKS_Gray, *, 5200, 2000
		Asval, *, 9000, 3500
		SR25_Black, *, 16000, 4500
		R700, *, 22000, 7000
		M200, *, 240000, 80000

	<Category> Grenades
		RGD5Grenade,			1,		300,	100
		M67Grenade,				1,		300,	100
		M18SmokeGrenade_Red,	1,		300,	100
		M18SmokeGrenade_Green,	1,		300,	100
		M18SmokeGrenade_Yellow,	1,		300,	100
		M18SmokeGrenade_Purple,	1,		300,	100
		M18SmokeGrenade_White,	1,		300,	100
		RDG2SmokeGrenade_Black,	1,		300,	100
		RDG2SmokeGrenade_White,	1,		300,	100
		FlashGrenade,			1,		300,	100


<Trader> 4
<Category> Патроны россыпью по 10 шт
		Ammo_380,				10,		10,		-1
		Ammo_9x19,				10,		10,		-1
		Ammo_22,				10,		10,		-1
		Ammo_45ACP,				10,		10,		-1
		Ammo_12gaPellets,		10,		30,		10
		Ammo_12gaSlug,			10,		40,		20
		Ammo_9x39,				10,		40,		20
		Ammo_9x39AP,			10,		50,		30
		Ammo_308Win,			10,		50,		30
		Ammo_545x39,			10,		50,		30
		Ammo_556x45,			10,		50,		30
		Ammo_762x39,			10,		50,		30
		Ammo_762x54,			10,		100,		60
		Ammo_556x45Tracer,		10,		100,		50
		Ammo_545x39Tracer,		10,		100,		50
		Ammo_308WinTracer,		10,		100,		50
		Ammo_762x39Tracer,		10,		100,		50
		Ammo_762x54Tracer,		10,		200,		120
		Ammo_22, 10, 10, 1
		Ammo_new_22Subsonic, 10, 10, 1
		Ammo_new_22StandardVelocity, 100, 10, 1
		Ammo_new_22HighVelocity, 10, 100, 1
		Ammo_new_22HyperVelocity, 10, 100, 1
		Ammo_12gaPellets, 10, 100, 1
		Ammo_12gaRubberSlug, 10, 100, 1
		Ammo_12gaSlug, 10, 100, 1
		Ammo_new_12gaBuckshot5, 10, 100, 1
		Ammo_new_12gaExpressBuckshot6, 10, 100, 1
		Ammo_new_12gaBuckshot7, 10, 100, 1
		Ammo_new_12gaMagnumBuckshot8, 10, 100, 1
		Ammo_new_12gaRip, 10, 100, 1
		Ammo_new_12gaAP20, 10, 100, 1
		Ammo_new_12ga2Sabot, 10, 100, 1
		Ammo_new_12gaFtxCustomLIte, 10, 100, 1
		Ammo_new_12gaGrizzly40, 10, 100, 1
		Ammo_new_12gaPoleva3, 10, 100, 1
		Ammo_new_12gaPoleva6, 10, 100, 1
		Ammo_new_12ga50Bmg, 10, 100, 1
		Ammo_new_12gaLead, 10, 100, 1
		Ammo_new_12gaFlchetteS, 10, 100, 1
		Ammo_new_12gaSuperFormance, 10, 100, 1
		Ammo_new_12gaCopperSabotPremier, 10, 100, 1
		Ammo_new_9x19Pst, 10, 100, 1
		Ammo_new_9x19Pso, 10, 100, 1
		Ammo_new_9x19LugerCci, 10, 100, 1
		Ammo_new_9x19Rip, 10, 100, 1
		Ammo_new_9x19Ap, 10, 100, 1
		Ammo_new_9x197H31, 10, 100, 1
		Ammo_new_9x19QuakeMaker, 10, 100, 1
		Ammo_new_9x39Sp5, 10, 120, 1
		Ammo_new_9x39Sp6, 10, 120, 1
		Ammo_new_9x397H9, 10, 120, 1
		Ammo_new_9x397H12, 10, 120, 1
		Ammo_new_357QuikShokJhp, 10, 120, 1
		Ammo_new_357HollowPoint, 10, 120, 1
		Ammo_new_357GoldDotJhp, 10, 120, 1
		Ammo_new_357ClassicJhp, 10, 120, 1
		Ammo_new_357GoldenSaberJhp, 10, 120, 1
		Ammo_new_357Semiwadcutter, 10, 120, 1
		Ammo_new_357SilvertipJhp, 10, 120, 1
		Ammo_new_45AcpAP, 10, 120, 1
		Ammo_new_45AcpFmj, 10, 120, 1
		Ammo_new_45AcpHydrShock, 10, 120, 1
		Ammo_new_45AcpLasermatchFmj, 10, 120, 1
		Ammo_new_45AcpRip, 10, 120, 1
		Ammo_new_46x30, 10, 10, 1
		Ammo_545x39Tracer, 10, 120, 1
		Ammo_new_545x397H39, 10, 120, 1
		Ammo_new_545x39Fmj, 10, 120, 1
		Ammo_new_545x39Hp, 10, 120, 1
		Ammo_new_545x39Sp, 10, 120, 1
		Ammo_new_545x39Bp, 10, 120, 1
		Ammo_new_545x39Bs, 10, 120, 1
		Ammo_new_545x39Bt, 10, 120, 1
		Ammo_new_545x39Fmj, 10, 120, 1
		Ammo_new_545x39Prs, 10, 120, 1
		Ammo_new_545x39T, 10, 120, 1
		Ammo_new_545x39Us, 10, 120, 1
		Ammo_556x45Tracer, 10, 150, 10
		Ammo_new_556x45M855, 10, 150, 10
		Ammo_new_556x45M855A1, 10, 150, 10
		Ammo_new_556x45M856, 10, 10, 150
		Ammo_new_556x45M856A1, 10, 150, 10
		Ammo_new_556x45M995, 10, 150, 10
		Ammo_new_556x45Mk255, 10, 150, 10
		Ammo_new_556x4555Fmj, 10, 150, 10
		Ammo_new_556x4555Hp, 10, 150, 10
		Ammo_new_556x45Warmage, 150, 10, 10
		Ammo_762x39Tracer, 10, 150, 10
		Ammo_new_762x39Hp, 10, 150, 10
		Ammo_new_762x39Bp, 10, 150, 10
