
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables							// Category Name
		CaninaBerry,																			*,		1,		-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,																		*,		1,		-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		SmallGuts,																				*,		550,		250
		RabbitPelt,																				*,		-1,		2500
		PigPelt,																					*,		-1,		2500
		GoatPelt,																					*,		-1,		2500
		DeerPelt,																					*,		-1,		2500
		SheepPelt,																				*,		-1,		2500
		MouflonPelt,																			*,		-1,		2500
		CowPelt,																					*,		-1,		2500
		WildboarPelt,																			*,		-1,		4000
		WolfPelt,																					*,		-1,		5000
		FoxPelt,																					*,		-1,		8000
		BearPelt,																					*,		-1,		10000

	<Category> Drinks
		SodaCan_Cola, 																		*,		1000, 	500
		SodaCan_Kvass, 																		*,		1000, 	500
		SodaCan_Pipsi, 																		*,		1000, 	500
		SodaCan_Spite, 																		*,		1000, 	500
		WaterBottle,																			*,		1000,		250
		Canteen,																					*,		1500,		500
		vinegar_mung,			             								 		*,	 	2000,	 	750
		ketchup_mung,			             								 		*,	  2000,	 	750
		Vodka,																						*,		2500,		1200

	<Category> Medical Supplies
		Rag,																							1,		1,		-1
		BandageDressing,																	1,		1200,		500
		BloodTestKit,																			*,		700,		300
		//InjectionVial,																	*,		5, 			2
		Thermometer,																			*,		800,		400
		DisinfectantSpray,																*,		9000,		2000
		Syringe,																					*,		8, 		5
		Heatpack,																					*,		1800,		500
		StartKitIV,																				*,		3200,		900
		SalineBag,																				*,		2500,		700
		BloodBagEmpty,																		*,		1300,		250
		FirstAidKit,																			*,		900,		250
		//Defibrillator,																	*,		35, 		20

	<Category> Medications
		CharcoalTablets,																	*,		999,		490
		DisinfectantAlcohol,															*,		9000,		-1
		VitaminBottle,																		*,		1000,		450
		TetracyclineAntibiotics,													*,		2000,		900
		PainkillerTablets,																*,		1500,		600
		Epinephrine,																			*,		4000,		1500
		Morphine,																					*,		5000,		1500

	<Category> Money Exchange
		MoneyRuble1,																			1,		1,		-1
		MoneyRuble5,																			1,		5,		-1
		MoneyRuble10,																			1,		10,		-1
		MoneyRuble25,																			1,		25,		-1
		MoneyRuble50,																			1,		50,		-1
		MoneyRuble100,																		1,		100,	-1


<Trader> Misc Trader
	<Category> Tools (small)
		Screwdriver,																			*,		300,		100
		Wrench,																						*,		300,		100
		SewingKit,																				*,		400, 		200
		Pliers,																						*,		400, 		100
		LeatherSewingKit,																	*,		400, 		200
		Whetstone,																				*,		500,		200
		Hammer,																						*,		1700,		550
		Hacksaw,																					*,		1500,		550
		HandSaw,																					*,		1800,		600
		WeaponCleaningKit,																*,		4000, 	700
		KitchenKnife,																			*,		950,		250
		SteakKnife,																				*,		900,		250
		HuntingKnife,																			*,		1200,		500
		CanOpener,																				*,		700,		250
		Compass,																					*,		200,		100
		OrienteeringCompass,															*,		200,		100
		Hatchet,																					*,		2000,		700
		CombatKnife,																			*,		1000,		500
		Machete,																					*,		1700,		600
		ChernarusMap,																			*,		4000,		500
		Lockpick,																					*,		-1,			500
		Binoculars,																				*,		1200,		250
		FishingRod,																				*,		7000,		1200


	<Category> Tools (big)
		LugWrench,																				*,		700,		200
		Crowbar,																					*,		800,		300
		Shovel,																						*,		-1,		700
		Pickaxe,																					*,		-1,		700
		SledgeHammer,																			*,		-1,		700
		PipeWrench,																				W,		1500,		600
		WoodAxe,																					*,		2000,		800
		FirefighterAxe,																		*,		3000,		1200

	<Category> Electronics
		Battery9V,																				*,		100,		50
		PersonalRadio,																		*,		200,		100
		Megaphone,																				*,		2000,		400
		ElectronicRepairKit,															*,		900,		490
		CableReel,																				*,		800,		400
		BatteryCharger,																		*,		700,		250
		BaseRadio,																				*,		4500,		2100
		Rangefinder,																			*,		1500,		700
		NVGoggles,																				*,		-1,			7000
		CodeLock,																					*,		8500,		2000

	<Category> Fire & Lights
		Chemlight_Blue,								*,		100,		50
		Chemlight_Green,							*,		100,		50
		Chemlight_Red,								*,		100,		50
		Chemlight_White,							*,		100,		50
		Chemlight_Yellow,							*,		100,		50
		Roadflare,										*,		400,		200
		Matchbox,											*,		250,		100
		Flashlight,										*,		150,		50
		PortableGasLamp,							*,		500,		250
		PortableGasStove,							*,		500,		250
		Headtorch_Black,							*,		1200,		500
		Headtorch_Grey,								*,		1200,		500
		Spotlight,										*,		1500,		750

	<Category> Ящики
				Msp_LargeAmmoBox,										*,		1000,		500
				//Msp_AmericanAppleCrate,		                    			*,		600,		300
				//Msp_AppleCrate,		                    							*,		600,		300
				//Msp_PlasticCrate,		                    						*,		600,		300
				Msp_AmmoCrate,		                    								*,		7000,		1600
				Msp_TackleBox,		                    								*,		5000,		1000
				Msp_TackleBox_Black,		                    					*,		5000,		1000
				Msp_CoolerBox,		                    								*,		5000,		1000
				Msp_CoolerBox_Black,		                    					*,		5000,		1000
				Msp_GrenadeBox,		                    								*,		8000,		2000
				Msp_TreasureChest,		                    						*,		7000,		2900
				Msp_MedievalChest,		                    						*,		11000,	5000
				Msp_MilitaryCrate_Brown,		                    			*,		14000,	6000
				Msp_MilitaryCrate_Green,		                    			*,		14000,	6000
				Msp_MilitaryCrate_Grey,		                    				*,		14000,	6000
				Msp_MilitaryCrate_Olive,		                    			*,		14000,	6000
				Msp_MilitaryCrate_Tan,		                    				*,		14000,	6000

			<Category> Бочки
				Msp_Barrel_Donation,		                    					*,		9600,		4000
				Msp_Barrel_Donation_Ammo,		                    			*,		9600,		4000
				Msp_Barrel_Donation_Guns,		                    			*,		9600,		4000
				Msp_Barrel_Donation_Food,		                    			*,		9600,		4000
				Msp_Barrel_Donation_Medical,		                  		*,		9600,		4000
				Msp_Barrel_Donation_BloodONegative,		            		*,		14000,		7500
				Msp_WaterBarrel_Plastic,		                    			*,		3000,		1400
				Msp_WaterBarrel_Plastic_Yellow,		                		*,		3000,		1400
				Msp_WaterBarrel_Plastic_Green,		                		*,		3000,		1400
				Msp_WaterBarrel_Plastic_Red,		                 			*,		3000,		1400
				Msp_WaterBarrel_Plastic_Black,		               			*,		3000,		1400
				Msp_WaterBarrel_Plastic_White,		               			*,		3000,		1400
				Msp_WaterBarrel_Valve_Faucet,		                			*,		500,		100
				Msp_WaterBarrel,		                									*,		1600,		800
				Msp_WaterBarrel_Darkwood,		             		   				*,		1600,		800
				Msp_WaterBarrel_Stand,		                						*,		800,		350
				Msp_WaterBarrel_Stand_Darkwood,		              	  	*,		800,		350
				Msp_WaterBarrel_Valve,		                						*,		800,		350
				Msp_WaterBarrel_Valve_Darkwood,		               			*,		800,		350

			<Category> Наборы для установки на базе
				Msp_FireplaceRailing,															*,		6000,	2000
				Вещь выше позволяет ставить костер где угодно!
				//Msp_EmptySquarePlanterBox,											*,		600,	200
				//Msp_EmptyPlanterBox,														*,		600,	200
				Msp_FishingRodsRack_Kit,													*,		3000,	1000
				Msp_GunCabinet_Kit,																*,		15000,	2000
				Msp_GunRack_Kit,																	*,		11000,	6000
				Msp_DoubleGunRack_Kit,														*,		22000,	10000
				Msp_MilitaryLocker_Kit,														*,		9000,	3500
				Msp_Locker_Kit,																		*,		12500,	2300
				Msp_StorageBox_Kit,																*,		12500,	4900
				Msp_ToolsBench_Blue_Kit,													*,		7000,	2500
				Msp_ToolsBench_Grey_Kit,													*,		7000,	2500
				Msp_ToolsBench_Red_Kit,														*,		7000,	2500
				Msp_MoskvaFridge_Blue_Kit,												*,		4000,	1500
				Msp_MoskvaFridge_Cream_Kit,												*,		4000,	1500
				Msp_MoskvaFridge_Red_Kit,													*,		4000,	1500
				Msp_SovietOkaFridge_Kit,													*,		4000,	1800
				Msp_SnowballFridge_Kit,														*,		4000,	1500
				Msp_Gazebo_Kit,																		*,		-1,		10000
				Msp_StoneFireplace_Kit,														*,		11000,	4200
				Msp_Greenhouse_Kit,																*,		12000,	5500
				Msp_GreenhouseWood_Kit,														*,		12000,	5500
				Msp_Bookcase_Kit,																	*,		-1,		60000
				Msp_RifleSafe_Kit,																*,		12700,	3900
				Msp_RifleSafe_Grey_Kit,														*,		12700,	3900
				Msp_RifleSafe_Green_Kit,													*,		12700,	3900
				Msp_RifleSafe_Purple_Kit,													*,		12700,	3900
				Msp_RifleSafe_Tan_Kit,														*,		12700,	3900
				Msp_MedicalBox_Kit,																*,		6500,	3000
				Msp_Gunwall_Kit,																	*,		9500,	5200
				Msp_Wardrobe_Brown_Kit,														*,		14600,	6000
				Msp_Wardrobe_Green_Kit,														*,		14600,	6000
				Msp_Wardrobe_White_Kit,														*,		14600,	6000
				ballgrill_mung,			          							   		*,		3000,	 1500
				hardigg_Mung,                     					   		*,    15000,  8000

			<Category> Прочее
				Msp_SleepingBag_Green,														*,		2000,		500
				Msp_SleepingBag_Blue,															*,		2000,		500
				Msp_SleepingBag_LimeGreen,												*,		2000,		500
				Msp_SleepingBag_Orange,														*,		2000,		500
				Msp_SleepingBag_Purple,														*,		2000,		500
				Msp_SleepingBag_Red,															*,		2000,		500
				Msp_Mattress_Blue,																*,		2000,		500
				Msp_Mattress_Green,																*,		2000,		500
				Msp_Mattress_Pink,																*,		2000,		500
				Msp_Mattress_Yellow,															*,		2000,		500
				Msp_DeskClock,																		*,		-1,			5000
				Msp_WoodenTable_Kit,															*,		1000,		500
				Msp_WoodenChair,																	*,		500,		100
				Msp_RoomDivider_Kit,															*,		500,		200
				Msp_HousePlant_Philodendron,											*,		1000,		500
				Msp_HousePlant_FicusTree,													*,		1000,		500
				Msp_HousePlant_RubberFig,													*,		1000,		500
				Msp_HousePlant_Succulent,													*,		1000,		500

			<Category> Сезонное
				Msp_Bunny,																				*,		550,	200
				Msp_SantaPants,																		*,		800,	300
				Msp_BeachUmbrella,																*,		-1,		800
				Msp_BeachBall,																		*,		-1,		800
				Msp_Volleyball,																		*,		-1,	800
				Msp_Floatie_Wheel,																*,		-1,	800
				Msp_Floatie_Unicorn,															*,		-1,	1000
				Msp_Floatie_Unicorn_Rainbow,											*,		-1,	1000
				Msp_Floatie_Unicorn_BlueRainbow,									*,		-1,	1000
				Msp_Floatie_Unicorn_GreenRainbow,									*,		-1,	1000
				Msp_Floatie_Unicorn_PurpleRainbow,								*,		-1,	1000
				Msp_Floatie_Flamingo,															*,		-1,	1000
				Msp_Floatie_Flamingo,															*,		-1,	1000
				Msp_BeachChair_Kit,																*,		1000,	100
				Msp_KiddiePool_Kit,																*,		-1,	1000
				Msp_KiddiePool_Pink_Kit,													*,		-1,	1000
				Msp_KiddiePool_Yellow_Kit,												*,		-1,	1000
				Msp_KiddiePool_Large_Kit,													*,		-1,	1000
				Msp_KiddiePool_Large_Pink_Kit,										*,		-1,	1000
				Msp_KiddiePool_Large_Yellow_Kit,									*,		-1,	1000
				Msp_VolleyballNet_Kit,														*,		-1,	1500
				Msp_WitchHat,																			*,		-1,		500
				MSP_WitchCauldron,																M,		-1,	800
				Msp_MedievalGibbetWithMount_Kit,									*,		-1,	3000
				Msp_MedievalGibbet_Kit,														*,		-1,	3000
				Msp_CoffinBox,		                    						*,		6500,		2000

	<Category> Приготовление пищи и для охоты
		PurificationTablets,																	*,		2500,		1000
		Pot,																									M,		1600,		700
		Tripod,																								*,		980,		400
		BearTrap,																							*,		1900,		850

	<Category> 1000 мелочей
		Bear_Beige,																						*,		500,		100
		Bear_Dark,																						*,		500,		100
		Bear_Pink,																						*,		500,		100
		Bear_White,																						*,		500,		100
		Paper,																								*,		100,	50
		Pen_Blue,																							*,		200,		100
		Rope,																									*,		400,		200
		TannedLeather,																				*,		400,		100
		AntiPestsSpray,																				*,		800,		400
		MetalWire,																						*,		150,		60
		EpoxyPutty,																						*,		150,		60
		DuctTape,																							*,		200,		80
		XmasLights,																						*,		250,		50
		HandcuffKeys,																					*,		350,		250
		Handcuffs,																						*,		500,		250
		Netting,																							1,		500,		250
		BurlapSack,																						*,		500,		250
		WoodenPlank,																					10,		500,		250
		MetalPlate,																						*,		600,		300
		SmallProtectorCase,																		*,		700,		300
		AmmoBox,																							*,		800,		350
		SmallGasCanister,																			*,		800,		350
		MediumGasCanister,																		*,		100,	50
		LargeGasCanister,																			*,		200,	100
		CanisterGasoline,																			*,		-1,		10000
		NailBox,																							*,		30000,	1200
		BarbedWire,																						*,		450,	200
		Camonet,																							*,		600,	250
		HescoBox,																							*,		650,	250
		CombinationLock,																			*,		700,	300
		CombinationLock4,																			*,		900,	400
		BarrelHoles_Blue,																			*,		9600,	4500
		BarrelHoles_Green,																		*,		9600,	4500
		BarrelHoles_Red,																			*,		9600,	4500
		BarrelHoles_Yellow,																		*,		9600,	4500
		Barrel_Blue,																					M,		9600,	4500
		Barrel_Green,																					M,		9600,	4500
		Barrel_Red,																						M,		9600,	4500
		Barrel_Yellow,																				M,		9600,	4500
		SeaChest,																							*,		2000,	400
		PowerGenerator,																				*,		3000,	1000
		makeshifttent_mung,			         							 				*,		1000,	 500
		Zippo_new,                          					 				*,    500,    350
		maglite_mung,			             								 				*,		600,	 300
		Airam_mung,			                 							 				*,		400,	 200
		oillamp_mung,			             							   				*,		200,	 100
		SAK_Mung,                            					 				*,    300,    150
		MediumTent,																						*,		3000,	500
		CarTent,																							*,		5000,	700
		LargeTent,																						*,		7000,	1200
		brain_Mung,                          					 				*,    -1,   100000

	<Category> Seeds & Lime
		TomatoSeedsPack,																			*,		40, 		10
		PepperSeedsPack,																			*,		40, 		10
		ZucchiniSeedsPack,																		*,		60, 		20
		PumpkinSeedsPack,																			*,		100, 	30
		GardenLime,																						*,		200,		70

		<Category> Much Decos
			MD_GraveShovel,		                    							*,		600,		300
			MD_Crafting_Book,																		*,		4000,		400
			MD_Box_C,																						*,		4000,		400
			MD_TrashCan,																				*,		15000,		400
			MD_GreenTrashCan,																		*,		15000,		400
			MD_Small_WoodBox,		                    						*,		1600,		400
			MD_Large_WoodBox,		                    						*,		1600,		400
			MD_Flat_WoodBox,		                    						*,		1600,		400
			MD_Bucket,		                    									*,		800,		300
			MD_DeskGlobe,		                    								*,		800,		300
			MD_TV,		                    											*,		800,		300
			MD_OldRadio,		                    								*,		800,		300
			MD_Radio,		                    										*,		800,		300
			MD_Scale,		                    										*,		800,		300
			MD_Cashier,		                    									*,		800,		300
			MD_Clock,		                    										*,		800,		300
			MD_ClothBag,		                    								*,		800,		300
			MD_Canister,		                    								*,		800,		300
			MD_Padlock,		                    									*,		2000,		300
			MD_WhiteFridge,		                    							*,		1600,		400
			MD_DoubleFridge,		                    						*,		1600,		400
			MD_DarkWoodenCrate,		                    					*,		1600,		400
			MD_Power_Transformer_Kit,		                    		*,		10000,		500
			MD_Sink_Kit,		                    								*,		30000,		300
			MD_PostBox_Kit,		                    							*,		600,		300
			MD_PostBoxWall_Kit,		                    					*,		600,		300
			MD_BlueBench_Kit,		                    						*,		600,		300
			MD_Sunshade_Kit,		                    						*,		600,		300
			MD_BrownWardrobe_Kit,		                    				*,		1600,		400
			MD_GreenWardrobe_Kit,		                    				*,		1600,		400
			MD_Bed_Double_Kit,		                    					*,		600,		300
			MD_Bed_Folding_Kit,		                    					*,		600,		300
			MD_Bed_Wood_Kit,		                    						*,		600,		300

		<Category> Much Decos Fences
			MD_Fence_PipeFenceLarge_Kit,		                    *,		1000,		500
			MD_Fence_PipeRailing_Kit,		                    		*,		500,		250
			MD_Fence_PipeFenceSmall_Kit,		                    *,		500,		250
			MD_Fence_WoodPole_Kit,		                    			*,		500,		250
			MD_Fence_End_WoodPole_Kit,		                    	*,		250,		100
			MD_Fence_Vineyard_Kit,		                    			*,		500,		250
			MD_Fence_Forest_Kit,		                    				*,		500,		250
			MD_Fence_End_Forest_Kit,		                    		*,		250,		100
			MD_Fence_WoodGrid_Kit,		                    			*,		500,		250
			MD_Fence_End_WoodGrid_Kit,		                    	*,		250,		100
			MD_Fence_MetalGrid_Kit,		                    			*,		500,		250
			MD_Fence_End_MetalGrid_Kit,		                    	*,		250,		100
			MD_Fence_Field_Kit,		                    					*,		500,		250
			MD_Fence_End_Field_Kit,		                    			*,		250,		100

		<Category> Much Decos Gates
			MD_Fence_Gate_Forest_Kit,		                    		*,		500,		250
			MD_Gate_TallSliding_Kit,		                    		*,		500,		250
			MD_Gate_ShortSliding_Kit,														*,		500,		250
			MD_Double_Gate_MetalFence1_Kit,		                  *,		500,		250
			MD_Double_Gate_MetalFence2_Kit,		                  *,		500,		250
			MD_Double_Gate_TinFence1_Kit,		                    *,		500,		250
			MD_Double_Gate_TinFence2_Kit,		                    *,		500,		250

		<Category> Much Decos Buildings
			MD_NewsStand1_Kit,																	*,		30000,		12000
			MD_NewsStand2_Kit,																	*,		30000,		12000
			MD_FastFoodStand_Kit,																*,		30000,		12000
			MD_GroceryStand_Kit,																*,		30000,		12000
			MD_CampHouse_White_Kit,															*,		30000,		12000
			MD_CampHouse_Brown_Kit,															*,		30000,		12000
			MD_CampHouse_Red_Kit,																*,		30000,		12000
			MD_Caravan_WGreen_Kit,															*,		30000,		12000
			MD_Caravan_WBrown_Kit,															*,		30000,		12000
			MD_Caravan_MRust_Kit,																*,		30000,		12000
			MD_Polytunnel_Kit,																	*,		30000,		12000
			MD_Greenhouse_Kit,																	*,		30000,		12000
			MD_Shed_M1_Kit,																			*,		30000,		12000
			MD_Shed_M3_Kit,																			*,		30000,		12000
			MD_Shed_M4_Kit,																			*,		30000,		12000
			MD_Shed_W1_Kit,																			*,		30000,		12000
			MD_Shed_W2_Kit,																			*,		30000,		12000
			MD_Shed_W3_Kit,																			*,		30000,		12000
			MD_Shed_W4_Kit,																			*,		30000,		12000
			MD_Shed_W5_Kit,																			*,		30000,		12000
			MD_Medical_Tent_Large_Kit,		           						*,		10000,		5000

		<Category> Much Decos Tables
			MD_StudentDesk_Kit,		                    					*,		600,		60
			MD_TeacherDesk_Kit,		                    					*,		600,		60
			MD_LabDesk_Kit,		                    							*,		600,		60
			MD_CampTable_Small_Kit,		                					*,		600,		60
			MD_CampTable_Long_Kit,		                					*,		600,		60
			MD_TableDrawer_Kit,		                    					*,		600,		60
			MD_OfficeTable_Kit,		                    					*,		600,		60
			MD_ConferenceTable_Kit,		                					*,		600,		60
			MD_OfficeDesk_Kit,		                    					*,		600,		60
			MD_KitchenCheckeredTable_Kit,		          					*,		600,		60
			MD_KitchenTable_Kit,		                  					*,		600,		60
			MD_MarketTable_Kit,		                    					*,		600,		60

		<Category> Much Decos Chairs
			MD_OfficeChair_Kit,		                    					*,		600,		60
			MD_StudentChair_Kit,		                  					*,		600,		60
			MD_RedChair_Kit,		                    						*,		600,		60
			MD_LobbyChair_Kit,		                    					*,		600,		60
			MD_TentChair_Kit,		                    						*,		600,		60
			MD_WoodenChair_Kit,		                    					*,		600,		60
			MD_PaddedWoodenChair_Kit,		              					*,		600,		60
			MD_KitchenChair_Kit,		                  					*,		600,		60

		//<Category> Much Decos Shelter
			//MD_CamonetShelter_Kit,		                    			*,		600,		60
			//MD_CamonetShelter_BE_Kit,		                    		*,		600,		60
			//MD_CamonetShelter_BN_Kit,		                    		*,		600,		60
			//MD_CamonetShelter_RE_Kit,		                    		*,		600,		60
			//MD_CamonetShelter_RN_Kit,		                    		*,		600,		60
			//MD_CamonetShelter_SE_Kit,		                    		*,		600,		60
			//MD_CamonetShelter_SN_Kit,		                    		*,		600,		60
			//MD_SlumShelter_LightBlue_Kit,		                    *,		600,		60
			//MD_SlumShelter_DarkBlue_Kit,		                    *,		600,		60
			//MD_SlumShelter_ThinBlue_Kit,		                    *,		600,		60
			//MD_SlumShelter_SmallMetal_Kit,		                  *,		600,		60
			//MD_SlumShelter_LargeMetal_Kit,		                  *,		600,		60

<Trader> Оружие
	<Category> Ближний бой
		BrassKnuckles_Shiny,																	W,		1000,			600
		StunBaton,																						W,		1500,			900
		Pipe,																									W,		2500,			1000
		CattleProd,																						W,		900,			450
		BaseballBat,																					W,		1200,			700
		NailedBaseballBat,																		W,		1900,			1000
		Msp_VorpalKnife,																			W,   	2110,   	900
		Msp_GoodNightBat,																			W,   	2150,    	950
		Msp_BeanBasher,																				W,   	3400,    	1700
		Msp_PipeAxe,																					W,   	5800,    	2900
		Msp_PlainBat,																					W,   	1900,    	950
		Msp_PlainBat_Blue,																		W,   	1900,    	950
		Msp_PlainBat_Black,																		W,    1900,    	950
		Msp_BlunderBat,																				W,    2400,    	1200
		Msp_BassAxe,																					W,    5000,    	2500
		guitar_mung,                    					     				*,    2000,    	1000
		bowieknife_mung,			       									 				*,		2000,	 		1000
		katana_Mung,			            								 				*,		5000,	 		2500
		Scythe_Mung,                        				   				*,    2000,    	1000
		//shovel_Mung,                       						 			*,    4000,    	2000
		Vesuri_mung,                         					 				*,    1000,    	500
		Clawhammer_mung,                    					 				*,    2000,    	1000


	<Category> Пистолеты
		Flaregun,            															   	W,		2600,	1100
		MakarovIJ70,																					W,		800,	350
		CZ75,																									W,		1050,	500
		FNX45,																								W,		1900,	700
		Glock19,																							W,		1100,	500
		MKII,																									W,		700,	350
		Colt1911,																							W,		1200,	500
		Deagle,																								W,		7000,	2500
		Deagle_Gold,																					W,		-1,		50000
		Engraved1911,																					W,		1340,	550
		MSFC_1911_Golden,																			W,		-1,		80000
		TTC_Kimber, 																					W, 		3500, 1000
		Msp_Water_Gun,																				*,		-1,	5000
		Nagant1895_mung,                     					 				*,      1000,   500



		<Category> Винтовки
			Izh18,																							W,		950,		440
			Mosin9130,																					W,		3600,		1900
			CZ527,																							W,		4100,		2600
			Winchester70,																				W,		4500,		2700
			SKS,																								W,		4500,		1600
			MSFC_VPO136,																				W,		6000,		3000 //7,62×39 мм
			TTC_LeeEnfield, 																		W,	 	7000, 	4500
			TTC_M1Garand, 																			W,	 	7000, 	4000
			TTC_Winchester1873, 																W, 		5000, 	2200
			TTC_kar98k,																					W, 		9000, 	3200
			TTC_M1Carbine, 																			W, 		7000, 	3300
			B95,																								W,		21000,	10000
			TTC_R700, 																					W, 		45000, 	17000
			Gewehr43_mung,			              						 			*,		4200,	 	2100


		<Category> Дробовики
			Mp133Shotgun,																				W,		4500,		2250
			Izh43Shotgun,																				W,		2200,		1000
			Saiga,																							W,		6500,		3600
			MSFC_BlackEagleII,																	W,		5000,		3000
			MSFC_Mossberg590,																		W,		5000,		3000
			MSFC_Vepr15,																				W,		5000,		3000
			TTC_Maverick, 																			W, 		5000, 	2500
			TTC_Mossberg, 																			W, 		5500, 	2500



		<Category> Submachine Guns
			CZ61,																								W,		3000,		1300
			UMP45,																							W,		5000,		2400
			MSFC_UMP45_Desert,																	W,		6800,		2500
			MSFC_UMP45_White,																		W,		6800,		2500
			MSFC_UMP45_Green,																		W,		3000,		2500
			MP5K,																								W,		4500,		2200
			MSFC_MP5K_Desert,																		W,		5000,		3000
			MSFC_MP5K_White,																		W,		5000,		3000
			MSFC_MP5K_Green,																		W,		5000,		3000
